Ticker,Name,Sub_Industry_Orig,Sub_Industry,Industry,Industry_Group,Sector,Market_Cap
AYI,Acuity Inc.,Electrical Equipment & Parts,Electrical Components & Equipment,Electrical Equipment,Capital Goods,Industrials,7.00B
AYRO,"Ayro, Inc.",Auto Manufacturers,Automobile Manufacturers,Automobiles,Automobiles & Components,Consumer Discretionary,4.39M
AYTU,"Aytu BioPharma, Inc.",Drug Manufacturers - Specialty & Generic,Drug Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,6.29M
AZ,A2Z Cust2Mate Solutions Corp.,Software - Application,Application Software,Software,Software & Services,Information Technology,263.40M
AZEK,The AZEK Company Inc.,Building Products & Equipment,Building Products,Building Products,Capital Goods,Industrials,6.67B
AZI,Autozi Internet Technology (Global) Ltd.,Auto & Truck Dealerships,Automotive Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,94.12M
AZN,AstraZeneca PLC,Drug Manufacturers - General,Drug Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,210.38B
AZO,"AutoZone, Inc.",Specialty Retail,Other Specialty Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,59.74B
AZTA,"Azenta, Inc.",Medical Instruments & Supplies,Health Care Supplies,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,1.17B
AZTR,"Azitra, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,4.72M
AZUL,Azul S.A.,Airlines,Passenger Airlines,Passenger Airlines,Transportation,Industrials,183.86M
AZZ,AZZ Inc.,Specialty Business Services,Semiconductor Materials & Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,2.44B
BA,The Boeing Company,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense,Capital Goods,Industrials,117.68B
BABA,Alibaba Group Holding Limited,Internet Retail,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,242.57B
BAC,Bank of America Corporation,Banks - Diversified,Diversified Banks,Banks,Banks,Financials,283.93B
BACQ,Bleichroeder Acquisition Corp. I,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,338.60M
BAER,"Bridger Aerospace Group Holdings, Inc.",Security & Protection Services,Security & Alarm Services,Commercial Services & Supplies,Commercial  & Professional Services,Industrials,84.58M
BAFN,BayFirst Financial Corp.,Banks - Regional,Regional Banks,Banks,Banks,Financials,56.15M
BAH,Booz Allen Hamilton Holding Corporation,Consulting Services,Research & Consulting Services,Professional Services,Commercial  & Professional Services,Industrials,14.09B
BAK,Braskem S.A.,Chemicals,Commodity Chemicals,Chemicals,Materials,Materials,1.35B
BALL,Ball Corporation,Packaging & Containers,Paper & Plastic Packaging Products & Materials,Containers & Packaging,Materials,Materials,13.31B
BAM,Brookfield Asset Management Ltd.,Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,78.76B
BANC,"Banc of California, Inc.",Banks - Regional,Regional Banks,Banks,Banks,Financials,2.20B
BAND,Bandwidth Inc.,Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,347.78M
BANF,BancFirst Corporation,Banks - Regional,Regional Banks,Banks,Banks,Financials,3.57B
BANL,CBL International Limited,Oil & Gas Midstream,Oil & Gas Storage & Transportation,"Oil, Gas & Consumable Fuels",Energy,Energy,27.78M
BANR,Banner Corporation,Banks - Regional,Regional Banks,Banks,Banks,Financials,2.07B
BANX,ArrowMark Financial Corp.,Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,142.09M
BAOS,Baosheng Media Group Holdings Limited,Advertising Agencies,Advertising,Media,Media & Entertainment,Communication Services,2.79M
BAP,Credicorp Ltd.,Banks - Regional,Regional Banks,Banks,Banks,Financials,14.73B
BARK,"BARK, Inc.",Specialty Retail,Other Specialty Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,217.77M
BASE,"Couchbase, Inc.",Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,780.57M
BATL,Battalion Oil Corporation,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,"Oil, Gas & Consumable Fuels",Energy,Energy,20.57M
BATRA,"Atlanta Braves Holdings, Inc.",Entertainment,Movies & Entertainment,Entertainment,Media & Entertainment,Communication Services,2.45B
BATRK,"Atlanta Braves Holdings, Inc.",Entertainment,Movies & Entertainment,Entertainment,Media & Entertainment,Communication Services,2.37B
BAX,Baxter International Inc.,Medical Instruments & Supplies,Health Care Supplies,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,14.29B
BAYA,Bayview Acquisition Corp,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,59.53M
BB,BlackBerry Limited,Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,1.93B
BBAI,"BigBear.ai Holdings, Inc.",Information Technology Services,IT Consulting & Other Services,IT Services,Software & Services,Information Technology,719.63M
BBAR,Banco BBVA Argentina S.A.,Banks - Regional,Regional Banks,Banks,Banks,Financials,4.22B
BBCP,"Concrete Pumping Holdings, Inc.",Engineering & Construction,Construction & Engineering,Construction & Engineering,Capital Goods,Industrials,324.67M
BBD,Banco Bradesco S.A.,Banks - Regional,Regional Banks,Banks,Banks,Financials,21.71B
BBDC,"Barings BDC, Inc.",Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,900.72M
BBDO,Banco Bradesco S.A.,Banks - Regional,Regional Banks,Banks,Banks,Financials,21.71B
BBGI,"Beasley Broadcast Group, Inc.",Broadcasting,Broadcasting,Media,Media & Entertainment,Communication Services,8.82M
BBIO,"BridgeBio Pharma, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,6.43B
BBLG,Bone Biologics Corporation,Medical Devices,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,Health Care,2.19M
BBNX,"Beta Bionics, Inc.",Medical Devices,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,Health Care,474.24M
BBSI,"Barrett Business Services, Inc.",Staffing & Employment Services,Human Resource & Employment Services,Professional Services,Commercial  & Professional Services,Industrials,1.05B
BBU,Brookfield Business Partners L.P.,Conglomerates,Industrial Conglomerates,Industrial Conglomerates,Capital Goods,Industrials,4.37B
BBUC,Brookfield Business Corporation,Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,1.73B
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Banks - Diversified,Diversified Banks,Banks,Banks,Financials,77.58B
BBW,"Build-A-Bear Workshop, Inc.",Specialty Retail,Other Specialty Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,479.05M
BBWI,"Bath & Body Works, Inc.",Specialty Retail,Other Specialty Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,5.90B
BBY,"Best Buy Co., Inc.",Specialty Retail,Other Specialty Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,12.63B
BC,Brunswick Corporation,Recreational Vehicles,Automobile Manufacturers,Automobiles,Automobiles & Components,Consumer Discretionary,2.85B
BCAB,"BioAtla, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,18.69M
BCAL,California BanCorp.,Banks - Regional,Regional Banks,Banks,Banks,Financials,403.73M
BCAX,Bicara Therapeutics Inc.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,644.47M
BCBP,"BCB Bancorp, Inc.",Banks - Regional,Regional Banks,Banks,Banks,Financials,161.16M
BCC,Boise Cascade Company,Lumber & Wood Production,Forest Products,Paper & Forest Products,Materials,Materials,3.49B
BCDA,"BioCardia, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,8.94M
BCE,BCE Inc.,Telecom Services,Integrated Telecommunication Services,Diversified Telecommunication Services,Telecommunication Services,Communication Services,19.62B
BCG,"Binah Capital Group, Inc.",Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,36.53M
BCH,Banco de Chile,Banks - Regional,Regional Banks,Banks,Banks,Financials,14.02B
BCLI,Brainstorm Cell Therapeutics Inc.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,5.23M
BCML,BayCom Corp,Banks - Regional,Regional Banks,Banks,Banks,Financials,286.46M
BCO,The Brink's Company,Security & Protection Services,Security & Alarm Services,Commercial Services & Supplies,Commercial  & Professional Services,Industrials,3.73B
BCPC,Balchem Corporation,Specialty Chemicals,Specialty Chemicals,Chemicals,Materials,Materials,5.24B
BCRX,"BioCryst Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,Drug Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,1.50B
BCS,Barclays PLC,Banks - Diversified,Diversified Banks,Banks,Banks,Financials,52.53B
BCSF,"Bain Capital Specialty Finance, Inc.",Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,949.19M
BCTX,BriaCell Therapeutics Corp.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,14.15M
BCYC,Bicycle Therapeutics plc,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,517.63M
BDC,Belden Inc.,Communication Equipment,Communications Equipment,Communications Equipment,Technology Hardware & Equipment,Information Technology,3.77B
BDL,"Flanigan's Enterprises, Inc.",Restaurants,Restaurants,"Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary,44.94M
BDMD,Baird Medical Investment Holdings Limited,Medical Devices,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,Health Care,202.51M
BDN,Brandywine Realty Trust,REIT - Office,Office REITs,Office REITs,Equity Real Estate Investment Trusts,Real Estate,645.74M
BDRX,Biodexa Pharmaceuticals Plc,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,966.11K
BDSX,"Biodesix, Inc.",Diagnostics & Research,Health Care Equipment,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,80.43M
BDTX,"Black Diamond Therapeutics, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,76.49M
BDX,"Becton, Dickinson and Company",Medical Instruments & Supplies,Health Care Supplies,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,57.63B
BE,Bloom Energy Corporation,Electrical Equipment & Parts,Electrical Components & Equipment,Electrical Equipment,Capital Goods,Industrials,4.12B
BEAG,Bold Eagle Acquisition Corp.,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,317.25M
BEAM,Beam Therapeutics Inc.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,1.62B
BEAT,"HeartBeam, Inc.",Health Information Services,Health Care Services,Health Care Providers & Services,Health Care Equipment & Services,Health Care,54.97M
BECN,"Beacon Roofing Supply, Inc.",Industrial Distribution,Industrial Machinery & Supplies & Components,Machinery,Capital Goods,Industrials,7.61B
BEDU,Bright Scholar Education Holdings Limited,Education & Training Services,Education Services,Diversified Consumer Services,Consumer Services,Consumer Discretionary,47.56M
BEEM,Beam Global,Solar,Semiconductor Materials & Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,20.92M
BEEP,Mobile Infrastructure Corporation,Infrastructure Operations,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,172.96M
BEKE,KE Holdings Inc.,Real Estate Services,Real Estate Services,Real Estate Management & Development,Real Estate Management & Development,Real Estate,23.28B
BELFA,Bel Fuse Inc.,Electronic Components,Electronic Components,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,Information Technology,811.52M
BELFB,Bel Fuse Inc.,Electronic Components,Electronic Components,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,Information Technology,860.48M
BEN,"Franklin Resources, Inc.",Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,9.22B
BENF,Beneficient,Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,2.42M
BEP,Brookfield Renewable Partners L.P.,Utilities - Renewable,Renewable Electricity ,Independent Power and Renewable Electricity Producers,Utilities,Utilities,14.09B
BEPC,Brookfield Renewable Corporation,Utilities - Renewable,Renewable Electricity ,Independent Power and Renewable Electricity Producers,Utilities,Utilities,8.98B
BERY,"Berry Global Group, Inc.",Packaging & Containers,Paper & Plastic Packaging Products & Materials,Containers & Packaging,Materials,Materials,7.74B
BETR,Better Home & Finance Holding Company,Mortgage Finance,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,Banks,Financials,197.21M
BETRW,Better Home & Finance Holding Company,Mortgage Finance,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,Banks,Financials,195.39M
BF.A,Brown-Forman Corporation,Beverages - Wineries & Distilleries,Distillers & Vintners,Beverages,"Food, Beverage & Tobacco",Consumer Staples,15.77B
BF.B,Brown-Forman Corporation,Beverages - Wineries & Distilleries,Distillers & Vintners,Beverages,"Food, Beverage & Tobacco",Consumer Staples,15.62B
BFAM,Bright Horizons Family Solutions Inc.,Personal Services,Specialized Consumer Services,Diversified Consumer Services,Consumer Services,Consumer Discretionary,6.69B
BFC,Bank First Corporation,Banks - Regional,Regional Banks,Banks,Banks,Financials,1.08B
BFH,"Bread Financial Holdings, Inc.",Credit Services,Specialized Finance,Financial Services,Financial Services,Financials,2.21B
BFIN,BankFinancial Corporation,Banks - Regional,Regional Banks,Banks,Banks,Financials,145.29M
BFLY,"Butterfly Network, Inc.",Medical Devices,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,Health Care,612.17M
BFRG,"Bullfrog AI Holdings, Inc.",Health Information Services,Health Care Services,Health Care Providers & Services,Health Care Equipment & Services,Health Care,15.72M
BFRI,Biofrontera Inc.,Drug Manufacturers - Specialty & Generic,Drug Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,7.48M
BFS,"Saul Centers, Inc.",REIT - Retail,Retail REITs,Retail REITs,Equity Real Estate Investment Trusts,Real Estate,1.12B
BFST,"Business First Bancshares, Inc.",Banks - Regional,Regional Banks,Banks,Banks,Financials,658.72M
BG,Bunge Global SA,Farm Products,Agricultural Products & Services,Food Products,"Food, Beverage & Tobacco",Consumer Staples,10.23B
BGC,"BGC Group, Inc.",Capital Markets,Diversified Capital Markets,Capital Markets,Financial Services,Financials,4.06B
BGFV,Big 5 Sporting Goods Corporation,Specialty Retail,Other Specialty Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,17.83M
BGI,Birks Group Inc.,Luxury Goods,"Apparel, Accessories & Luxury Goods","Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,Consumer Discretionary,17.57M
BGLC,BioNexus Gene Lab Corp.,Specialty Chemicals,Specialty Chemicals,Chemicals,Materials,Materials,4.92M
BGM,BGM Group Ltd.,Drug Manufacturers - Specialty & Generic,Drug Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,1.08B
BGS,"B&G Foods, Inc.",Packaged Foods,Packaged Foods & Meats,Food Products,"Food, Beverage & Tobacco",Consumer Staples,485.51M
BGSF,"BGSF, Inc.",Staffing & Employment Services,Human Resource & Employment Services,Professional Services,Commercial  & Professional Services,Industrials,33.34M
BH,Biglari Holdings Inc.,Restaurants,Restaurants,"Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary,664.03M
BH.A,Biglari Holdings Inc.,Restaurants,Restaurants,"Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary,651.62M
BHAT,Blue Hat Interactive Entertainment Technology,Electronic Gaming & Multimedia,Consumer Electronics,Household Durables,Consumer Durables & Apparel,Consumer Discretionary,10.67M
BHB,Bar Harbor Bankshares,Banks - Regional,Regional Banks,Banks,Banks,Financials,429.34M
BHC,Bausch Health Companies Inc.,Drug Manufacturers - Specialty & Generic,Drug Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,1.66B
BHE,"Benchmark Electronics, Inc.",Electronic Components,Electronic Components,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,Information Technology,1.27B
BHF,"Brighthouse Financial, Inc.",Insurance - Life,Life & Health Insurance,Insurance,Insurance,Financials,2.89B
BHLB,"Berkshire Hills Bancorp, Inc.",Banks - Regional,Regional Banks,Banks,Banks,Financials,1.07B
BHM,"Bluerock Homes Trust, Inc.",REIT - Residential,Residential REITs,Health Care REITs,Equity Real Estate Investment Trusts,Real Estate,129.20M
BHP,BHP Group Limited,Other Industrial Metals & Mining,Diversified Metals & Mining,Metals & Mining,Materials,Materials,116.85B
BHR,Braemar Hotels & Resorts Inc.,REIT - Hotel & Motel,Hotel & Resort REITs,Hotel & Resort REITs,Equity Real Estate Investment Trusts,Real Estate,144.82M
BHRB,Burke & Herbert Financial Services Corp.,Banks - Regional,Regional Banks,Banks,Banks,Financials,741.94M
BHST,BioHarvest Sciences Inc.,Packaged Foods,Packaged Foods & Meats,Food Products,"Food, Beverage & Tobacco",Consumer Staples,97.90M
BHVN,Biohaven Ltd.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,1.91B
BIAF,"bioAffinity Technologies, Inc.",Diagnostics & Research,Health Care Equipment,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,8.42M
BIDU,"Baidu, Inc.",Internet Content & Information,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,28.38B
BIGC,"BigCommerce Holdings, Inc.",Software - Application,Application Software,Software,Software & Services,Information Technology,400.07M
BIIB,Biogen Inc.,Drug Manufacturers - General,Drug Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,16.87B
BILI,Bilibili Inc.,Internet Content & Information,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,6.78B
BILL,"BILL Holdings, Inc.",Software - Application,Application Software,Software,Software & Services,Information Technology,4.17B
BIO,"Bio-Rad Laboratories, Inc.",Medical Devices,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,Health Care,6.88B
BIO.B,"Bio-Rad Laboratories, Inc.",Medical Devices,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,Health Care,6.76B
BIOA,"BioAge Labs, Inc.",Drug Manufacturers - Specialty & Generic,Drug Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,134.44M
BIOX,Bioceres Crop Solutions Corp.,Agricultural Inputs,Agricultural Products & Services,Food Products,"Food, Beverage & Tobacco",Consumer Staples,257.11M
BIP,Brookfield Infrastructure Partners L.P.,Utilities - Diversified,Multi-Utilities,Multi-Utilities,Utilities,Utilities,13.31B
BIPC,Brookfield Infrastructure Corporation,Utilities - Regulated Gas,Gas Utilities,Gas Utilities,Utilities,Utilities,4.24B
BIRD,"Allbirds, Inc.",Apparel Retail,Apparel Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,36.57M
BIRK,Birkenstock Holding plc,Footwear & Accessories,Footwear,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,Consumer Discretionary,8.84B
BITF,Bitfarms Ltd.,Capital Markets,Diversified Capital Markets,Capital Markets,Financial Services,Financials,440.78M
BIVI,BioVie Inc.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,14.58M
BIYA,Baiya International Group Inc.,Staffing & Employment Services,Human Resource & Employment Services,Professional Services,Commercial  & Professional Services,Industrials,30.00M
BJ,"BJ's Wholesale Club Holdings, Inc.",Discount Stores,Consumer Staples Merchandise Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,15.28B
BJDX,"Bluejay Diagnostics, Inc.",Medical Devices,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,Health Care,1.22M
BJRI,"BJ's Restaurants, Inc.",Restaurants,Restaurants,"Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary,714.71M
BK,The Bank of New York Mellon Corporation,Banks - Diversified,Diversified Banks,Banks,Banks,Financials,54.34B
BKD,Brookdale Senior Living Inc.,Medical Care Facilities,Marine Transportation,Marine Transportation,Transportation,Industrials,1.27B
BKE,"The Buckle, Inc.",Apparel Retail,Apparel Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,1.71B
BKH,Black Hills Corporation,Utilities - Regulated Gas,Gas Utilities,Gas Utilities,Utilities,Utilities,4.32B
BKHA,Black Hawk Acquisition Corporation,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,94.30M
BKKT,"Bakkt Holdings, Inc.",Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,111.74M
BKNG,Booking Holdings Inc.,Travel Services,"Hotels, Resorts & Cruise Lines","Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary,149.01B
BKR,Baker Hughes Company,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy Equipment & Services,Energy,Energy,37.79B
BKSY,BlackSky Technology Inc.,Scientific & Technical Instruments,Life Sciences Tools & Services,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,225.28M
BKTI,BK Technologies Corporation,Communication Equipment,Communications Equipment,Communications Equipment,Technology Hardware & Equipment,Information Technology,159.71M
BKU,"BankUnited, Inc.",Banks - Regional,Regional Banks,Banks,Banks,Financials,2.31B
BKV,BKV Corporation,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,"Oil, Gas & Consumable Fuels",Energy,Energy,1.47B
BKYI,"BIO-key International, Inc.",Security & Protection Services,Security & Alarm Services,Commercial Services & Supplies,Commercial  & Professional Services,Industrials,2.60M
BL,"BlackLine, Inc.",Software - Application,Application Software,Software,Software & Services,Information Technology,2.94B
BLBD,Blue Bird Corporation,Farm & Heavy Construction Machinery,Agricultural & Farm Machinery,Machinery,Capital Goods,Industrials,1.07B
BLBX,Blackboxstocks Inc.,Software - Application,Application Software,Software,Software & Services,Information Technology,12.07M
BLCO,Bausch + Lomb Corporation,Medical Instruments & Supplies,Health Care Supplies,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,4.17B
BLD,TopBuild Corp.,Engineering & Construction,Construction & Engineering,Construction & Engineering,Capital Goods,Industrials,8.18B
BLDE,"Blade Air Mobility, Inc.",Airports & Air Services,Airport Services,Transportation Infrastructure,Transportation,Industrials,211.48M
BLDP,Ballard Power Systems Inc.,Specialty Industrial Machinery,Industrial Machinery & Supplies & Components,Machinery,Capital Goods,Industrials,354.64M
BLDR,"Builders FirstSource, Inc.",Building Products & Equipment,Building Products,Building Products,Capital Goods,Industrials,12.86B
BLFS,"BioLife Solutions, Inc.",Medical Instruments & Supplies,Health Care Supplies,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,1.05B
BLFY,Blue Foundry Bancorp,Banks - Regional,Regional Banks,Banks,Banks,Financials,176.78M
BLIN,"Bridgeline Digital, Inc.",Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,17.51M
BLIV,BeLive Holdings,Software - Application,Application Software,Software,Software & Services,Information Technology,34.78M
BLK,"BlackRock, Inc.",Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,134.27B
BLKB,"Blackbaud, Inc.",Software - Application,Application Software,Software,Software & Services,Information Technology,2.97B
BLMN,"Bloomin' Brands, Inc.",Restaurants,Restaurants,"Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary,639.10M
BLMZ,BloomZ Inc.,Entertainment,Movies & Entertainment,Entertainment,Media & Entertainment,Communication Services,2.29M
BLND,"Blend Labs, Inc.",Software - Application,Application Software,Software,Software & Services,Information Technology,810.15M
BLNE,"Beeline Holdings, Inc.",Beverages - Wineries & Distilleries,Distillers & Vintners,Beverages,"Food, Beverage & Tobacco",Consumer Staples,8.19M
BLNK,Blink Charging Co.,Engineering & Construction,Construction & Engineering,Construction & Engineering,Capital Goods,Industrials,70.10M
BLRX,BioLineRx Ltd.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,9.69M
BLTE,"Belite Bio, Inc",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,1.82B
BLUE,"bluebird bio, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,40.63M
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",Banks - Regional,Regional Banks,Banks,Banks,Financials,1.39B
BLZE,"Backblaze, Inc.",Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,254.12M
BMA,Banco Macro S.A.,Banks - Regional,Regional Banks,Banks,Banks,Financials,5.89B
BMBL,Bumble Inc.,Internet Content & Information,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,607.02M
BMEA,"Biomea Fusion, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,59.36M
BMGL,Basel Medical Group Ltd,Medical Care Facilities,Marine Transportation,Marine Transportation,Transportation,Industrials,82.85M
BMI,"Badger Meter, Inc.",Scientific & Technical Instruments,Life Sciences Tools & Services,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,5.41B
BMO,Bank of Montreal,Banks - Diversified,Diversified Banks,Banks,Banks,Financials,67.55B
BMR,Beamr Imaging Ltd.,Software - Application,Application Software,Software,Software & Services,Information Technology,33.06M
BMRA,"Biomerica, Inc.",Medical Devices,Health Care Facilities,Health Care Providers & Services,Health Care Equipment & Services,Health Care,7.69M
BMRC,Bank of Marin Bancorp,Banks - Regional,Regional Banks,Banks,Banks,Financials,323.94M
BMRN,BioMarin Pharmaceutical Inc.,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,11.28B
BMY,Bristol-Myers Squibb Company,Drug Manufacturers - General,Drug Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples,100.42B
BN,Brookfield Corporation,Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,81.30B
BNAI,"Brand Engagement Network, Inc.",Software - Infrastructure,Internet Services & Infrastructure,IT Services,Software & Services,Information Technology,14.25M
BNED,"Barnes & Noble Education, Inc.",Specialty Retail,Other Specialty Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,314.66M
BNGO,"Bionano Genomics, Inc.",Medical Instruments & Supplies,Health Care Supplies,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,12.15M
BNL,"Broadstone Net Lease, Inc.",REIT - Diversified,Diversified REITs,Diversified REITs,Equity Real Estate Investment Trusts,Real Estate,3.16B
BNR,Burning Rock Biotech Limited,Diagnostics & Research,Health Care Equipment,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,29.75M
BNRG,Brenmiller Energy Ltd,Utilities - Renewable,Renewable Electricity ,Independent Power and Renewable Electricity Producers,Utilities,Utilities,11.17M
BNS,The Bank of Nova Scotia,Banks - Diversified,Diversified Banks,Banks,Banks,Financials,58.54B
